index,corr. coef
3811-1360,1.419_0.634
3841-11091,2.0_0.661
3811-10974,2.0_0.708
3803-31080,1.337_0.766
3811-26647,0.218_0.857
3811-2563,0.273_0.687
3833-19375,1.387_0.685
3841-14409,0.917_0.745
3803-3002,1.396_0.852
3811-13515,2.0_0.633
3811-19027,1.343_0.781
3811-19900,0.548_0.598
3811-27173,0.526_0.792
3809-26647,1.236_0.865
3833-20769,0.704_0.674
3833-16122,0.795_0.646
3841-30408,2.0_0.652
3811-14276,1.516_0.56
3841-21116,0.908_0.619
3811-26884,0.51_0.675
3803-7930,2.0_0.49
3835-2617,2.0_0.524
3803-2285,1.636_0.667
3833-26650,0.361_0.604
3809-7222,0.841_0.75
3811-8567,0.358_0.662
3809-8706,0.445_0.754
3811-2340,1.951_0.837
3841-31719,0.933_0.769
3811-1840,1.827_0.737
3833-18223,1.356_0.657
3811-6356,2.0_0.728
3833-26292,0.275_0.754
3811-2274,1.559_0.608
3811-2466,0.112_0.802
3833-2394,0.835_0.68
3841-27421,0.943_0.675
3841-22780,0.387_0.637
3811-30573,1.081_0.705
3811-25130,2.0_0.67
3811-5675,1.522_0.674
3811-13410,1.518_0.629
3841-26650,0.583_0.465
3841-24753,1.655_0.647
3809-18853,1.988_0.746
3811-24302,2.0_0.706
3833-4625,1.225_0.706
3803-24178,1.093_0.752
3811-10316,1.48_0.638
3811-8838,1.043_0.607
3841-25881,2.0_0.712
3811-4635,2.0_0.673
3809-1840,0.763_0.692
3803-1135,2.0_0.599
3841-10930,0.21_0.835
3811-26679,1.443_0.759
3809-10006,2.0_0.628
3833-26679,1.224_0.664
3811-22780,1.054_0.757
3833-10974,0.253_0.59
3809-24796,0.094_0.711
3811-23772,2.0_0.586
3841-26639,0.955_0.664
3841-2397,1.581_0.581
3841-20769,0.393_0.592
3811-24787,2.0_0.584
3841-1840,1.205_0.798
3811-10859,1.567_0.639
3811-15824,1.803_0.691
3835-2679,1.637_0.558
3841-15824,2.0_0.638
3841-19831,2.0_0.567
3835-18550,2.0_0.541
3811-26492,1.561_0.7
3811-27212,2.0_0.607
3803-14410,2.0_0.727
